Title ,"[[""Links"",""""]]"
Bike Arte Festival: Engaging With Low-Income Communities to Promote Biking ,"[[""Home Page"",""https://aromeiazero.org.br/""],[""Bike Arte"",""https://aromeiazero.org.br/bikearte/""]]"
World Health Organization (WHO) Mobile Clinics: Providing Disaster Relief Through Boats ,"[[""Home Page"",""https://www.who.int/""]]"
BiH Mine Suspected Areas: An App for Safe Travel in Bosnia and Herzegovina,"[[""Perspectives on Cultural Rhetorics & Posthumanism: A Symposium"",""https://doi.org/10.1080/07350198.2019.1654760""],[""Migrants Warned of Dangers of Landmines on Balkan Route"",""https://www.infomigrants.net/en/post/34243/migrants-warned-of-dangers-of-landmines-on-balkan-route""],[""Migrants Warned of Dangers of Land Mines on the Balkan Route"",""https://www.iom.int/news/migrants-warned-dangers-land-mines-balkan-route""],[""Bosnia and Herzegovina: Article 5 Deadline"",""https://www.mineactionreview.org/assets/downloads/BiH.pdf""],[""Landmines in Croatia Pose Threat to Incoming Refugees"",""https://commons.lib.jmu.edu/cisr-journal/vol19/iss3/16""]]"
Border Memorial: Visualizing the Dead Forced Migrants in the Arizona Desert ,"[[""Custom Map of Migrant Mortality"",""https://humaneborders.info/app/map.asp""],[""Border Work: Surveillant Assemblages, Virtual Fences, and Tactical Counter-Media"",""https://doi.org/10.1080/10350330.2013.777592""],[""Distributed Agency in Hybrid Space: Understanding the Digital Media Practices of Forced Migrants and Hybrid Mobilities"",""https://repository.lib.ncsu.edu/bitstream/handle/1840.20/38181/etd.pdf?sequence=1&isAllowed=y""],[""Border Memorial Slideshow"",""http://media.hyperrhiz.io/hyperrhiz12/gallery/freeman/slideshow/index.html""],[""Border Memorial: Frontera De Los Muertos"",""https://doi.org/10.1080/21502552.2013.766874""],[""Border Memorial: Frontera de los Muertos"",""https://doi.org/10.20415/hyp/012.am01""]]"
The Health Wagon: Mobilizing Healthcare in Rural Virginia,"[[""Innovation"",""https://thehealthwagon.org/""],[""Delivering Health in Some of the Worlds’ Worst Crises through Mobile Clinics and Medical Teams"",""https://www.who.int/news-room/feature-stories/detail/delivering-health-in-some-of-the-worlds-worst-crises-through-mobile-clinics-and-medical-teams""],[""Home Page"",""https://www.who.int/""],[""Our Mobile Clinics"",""https://thehealthwagon.org/mobile-clinics/""]]"
Life Jackets Appropriation: Turning Discarded Life Jackets to Benefit Forced Migrants ,"[[""Life-jacket mountain a metaphor for Greece’s refugees"",""https://www.aljazeera.com/features/2015/12/29/life-jacket-mountain-a-metaphor-for-greeces-refugees""]]"
No Friend but the Mountains: A Book Written Through WhatsApp Text Messages ,"[[""A long flight to freedom: how refugee Behrouz Boochani finally left his island jail behind"",""https://www.theguardian.com/australia-news/2019/nov/14/a-long-flight-to-freedom-how-refugee-behrouz-boochani-finally-left-his-island-jail-behind""],[""Behrouz Boochani: prize-winning refugee writer - Pan Macmillan"",""https://www.panmacmillan.com/blogs/literary/behrouz-boochani-no-friend-but-the-mountains""],[""Behrouz Boochani Documents Humiliations of Refugee Detention"",""http://time.com/5520913/behrouz-boochani-manus-asylum-australia-book/""],[""Between Rights and Rightlessness: Haitian Migrants and the Elusive Promises of Humanitarianism"",""https://hemisphericinstitute.org/en/emisferica-14-1-expulsion/14-1-essays/between-rights-and-rightlessness-haitian-migrants-and-the-elusive-promises-of-humanitarianism.html""],[""Writing from Manus Prison: A Scathing Critique of Domination and Oppression"",""https://www.theguardian.com/commentisfree/2018/jul/31/writing-from-manus-prison-a-scathing-critique-of-domination-and-oppression""]]"
Wi-Fi Bookbags: Creating Mobile Wi-Fi Hotspots in Encampments For Forced Migrants ,"[[""Migrant Crisis: Hungary Closes Border with Croatia - BBC News"",""https://www.bbc.com/news/world-europe-34556682""],[""Hungary Seals Border With Croatia in Migrant Crackdown"",""https://www.nytimes.com/2015/10/17/world/europe/hungary-croatia-refugees-migrants.html""],[""XO88 Top Class Betting House in the UK"",""https://www.otvorenamreza.org/""],[""The Right to Man to Communicate"",""https://catalogue.nla.gov.au/catalog/893418""],[""Communication Rights from the Margins: Politicising Young Refugees’ Smartphone Pocket Archives"",""https://doi.org/10.1177/1748048517727182""]]"
Painel Unificador COVID-19 (Unified COVID-19 Dashboard): Counting COVID-19 in the Favelas of Rio de Janeiro,"[[""Features Constituting Actionable COVID-19 Dashboards: Descriptive Assessment and Expert Appraisal of 158 Public Web-Based COVID-19 Dashboards"",""https://doi.org/10.2196/25682""],[""US COVID-19 State Government Public Dashboards: An Expert Review,"",""https://pmc.ncbi.nlm.nih.gov/articles/PMC8046590/""],[""Chasing John Snow: Data Analytics in the COVID-19 Era"",""https://doi.org/10.1080/0960085X.2020.1793698""],[""Painel Unificador Covid-19 Nas Favelas Do Rio de Janeiro"",""https://catcomm.org/covid-dashboard-release-02/""],[""Em Comunidades Do Rio, Salto No Número de Infecções Por Covid-19 Ultrapassa o Dobro Da Média Da Cidade"",""https://oglobo.globo.com/rio/em-comunidades-do-rio-salto-no-numero-de-infeccoes-por-covid-19-ultrapassa-dobro-da-media-da-cidade-24955011""],[""Favelas Do Rio Contestam Número Oficial de Mortes Por Covid-19 e Criam Painel Próprio [Rio Favelas Contest Official Covid-19 Death Counts and Create Their Own Dashboard]"",""https://extra.globo.com/noticias/rio/favelas-do-rio-contestam-numero-oficial-de-mortes-por-covid-19-criam-painel-proprio-24546375.html""],[""Há Risco de Falta de Testes Para Covid No Brasil, Alerta Associação de Laboratórios,"",""https://tribuna.agaerre.com.br/assuntos/brasil/ha-risco-de-falta-de-testes-para-covid-no-brasil-alerta-associacao-de-laboratorios""],[""Nota Técnica No.1: Covid-19 Nas Favelas: Contribuições Para Estratégias de Visibilizar Esses Territórios"",""https://comcat.org/wp-content/uploads/2020/12/2020-12-10-Nota-Te%CC%81cnica-No.-1-do-Painel-Unificador-Covid-19-nas-Favelas.pdf""]]"
Conexão Saúde (Health Connection): Supporting Favelas During the COVID-19 Pandemic,"[[""App-Based Symptom Tracking to Optimize SARS-CoV-2 Testing Strategy Using Machine Learning"",""https://doi.org/10.1371/journal.pone.0248920""],[""Mobile Phone Appropriation in the Favelas of Rio de Janeiro, Brazil"",""https://doi.org/10.1177/1461444810393901""],[""Projeto Social Em Favelas Do Rio Consegue Reduzir Mortes Por Covid Em 61% Em Um Ano. [Social Project in Rio Favelas Manage to Reduce Covid-19 Deaths in 61% in One Year]"",""https://www1.folha.uol.com.br/equilibrioesaude/2021/06/projeto-social-em-favelas-do-rio-consegue-reduzir-mortes-por-covid-em-61-em-um-ano.shtml""],[""Mutual Aid, Pandemic Politics, and Global Social Medicine in Brazil"",""https://doi.org/10.1016/s0140-6736(21)01002-3""],[""Making the COVID-19 Pandemic Visible: The Power of Grassroots Mapping Initiatives"",""https://ijoc.org/index.php/ijoc/article/view/18441""]]"
FIOTIM and Museu da Imagem Itinerante de Maré (Maré Itinerant Museum of Images): Reclaiming Cultural Access Through Mobile Art,"[[""Museumiim"",""https://web.archive.org/web/20211128045332/https://museumiim.com.br/index""],[""Images of the People (RJ)"",""https://ims.com.br/convida/imagens-do-povo/""],[""The Movie Review: ‘City of God"",""https://www.theatlantic.com/entertainment/archive/2004/06/the-movie-review-city-of-god/69527/""],[""What Is a “Social Imaginary”?"",""https://doi.org/10.1515/9780822385806-004""],[""FIOTIM - The Museum in Motion 03/23"",""https://www.agendabh.com.br/fiotim-o-museu-em-movimento/""],[""Where Good Ideas Come from: The Natural History of Innovation"",""https://archive.org/details/wheregoodideasco00stev""]]"
Transborder Immigrant Tool: Repurposing GPS Technology as Humanitarian Aid ,"[[""The Transborder Immigrant Tool: Violence, Solidarity and Hope in Post-NAFTA Circuits of Bodies Electr(on)/Ic"",""https://www.academia.edu/21298323/The_Transborder_Immigrant_Tool_Violence_Solidarity_and_Hope_in_Post_NAFTA_Circuits_of_Bodies_Electr_on_ic""],[""Code as Ritualized Poetry: The Tactics of the Transborder Immigrant Tool"",""https://web.archive.org/web/20240526215849/https://elmcip.net/critical-writing/code-ritualized-poetry-tactics-transborder-immigrant-tool""],[""Rerouting Borders: Politics of Mobility and the Transborder Immigrant Tool"",""https://www.routledge.com/Mobility-and-Locative-Media-Mobile-Communication-in-Hybrid-Spaces/Silva-Sheller/p/book/9781138778139""],[""Creative Misuse as Resistance: Surveillance, Mobile Technologies, and Locative Games"",""https://doi.org/10.24908/ss.v12i3.4981""]]"
Homes From Waste: Constructing Homes by Reusing Plastic Water Bottles ,"[[""Reterritorialization Practices and Strategies of Campesinos in the Urban Frontier of Bogotá, Colombia"",""https://doi.org/10.1016/j.landusepol.2020.105058""],[""Living Displacement : The Loss and Making of Place in Colombia"",""https://www.cambridge.org/core/journals/journal-of-latin-american-studies/article/mateja-celestina-living-displacement-the-loss-and-making-of-place-in-colombia-manchester-manchester-university-press-2018-pp-xxiii-177-8000/F37B7F840AFB52C90C0FEEF71FBE5A60""],[""Mobile technology appropriation in a distant mirror: Baroquization, creolization, and cannibalism"",""https://doi.org/10.1177/1461444816629474""],[""Upcycling Definition"",""https://web.archive.org/web/20250813041338/https://youmatter.world/en/definition/upcycling/""],[""Creative Upcycling: Reconnecting People, Materials and Place through Making"",""https://doi.org/10.1016/j.jclepro.2018.03.317""],[""The Paraisópolis favela is beyond violence: There’s even a house made of plastic bottles"",""https://paginacinco.blogosfera.uol.com.br/2016/11/29/a-favela-de-paraisopolis-alem-da-violencia-tem-ate-casa-de-garrafa-pet/""],[""Nigeria’s plastic bottle house"",""https://www.bbc.com/news/world-africa-14722179""],[""Techno-Vernacular Creativity and Innovation: Culturally Relevant Making Inside and Outside of the Classroom"",""https://doi.org/10.7551/mitpress/12379.001.0001""],[""Africa’s First Plastic Bottle house Rises in Nigeria"",""https://inhabitat.com/africas-first-plastic-bottle-house-rises-in-nigeria/""]]"
Encoded Textiles: Weaving QR Codes Into Textiles to Tell the Story of the Mapuche Community ,"[[""Encoded Textiles"",""https://www.warriors-project.art/projects/encoded-textiles""],[""Encoded Textiles"",""https://web.archive.org/web/20240302044056/https://gbert.com/encoded-textile/""],[""Creativity and Innovation: Culturally Relevant Making Inside and Outside of the Classroom"",""https://doi.org/10.7551/mitpress/12379.001.0001""],[""Mobile Technology Appropriation in a Distant Mirror: Baroquization, Creolization, and Cannibalism"",""https://journals.sagepub.com/doi/10.1177/1461444816629474""]]"
Safwan Harb’s Wheelchair-Bike: Creating Mobility in a Refugee Camp by Modifying a Bike ,"[[""World’s Largest Syrian Refugee Camp Has Developed Its Own Economy"",""https://www.pbs.org/newshour/show/worlds-largest-syrian-refugee-camp-has-developed-its-own-economy""],[""Refugees use art to make Zaatari Refugee Camp home"",""https://www.cnn.com/2018/07/30/middleeast/zaatari-refugee-camp-artists/index.html""],[""The disabled refugee inventor who built an electric bike"",""https://www.bbc.com/news/av/technology-35871803/the-disabled-refugee-inventor-who-built-an-electric-%20bike""],[""Mobile Networked Creativity: Developing a Theoretical Framework for Understanding Creativity as Survival"",""https://doi.org/10.1093/ct/qtaa006""],[""Refugee Invents Device to Help Disabled People Go Around"",""https://patient-innovation.com/post/1299""]]"
